Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Price(euro),Age,km_year
Mercedes,E Class,2008,Sedan,365000.0,2200.0,Diesel,10000.0,14,26071.42857142857
Mercedes,S Class,1999,Sedan,317000.0,3200.0,Metan/Propan,5500.0,23,13782.608695652174
Nissan,Qashqai,2017,SUV,157300.0,1500.0,Diesel,12390.0,5,31460.0
Mitsubishi,Rare,2007,Hatchback,151000.0,1300.0,Petrol,1250.0,15,10066.666666666666
Volkswagen,Passat,2009,Universal,299000.0,1400.0,Metan/Propan,4997.0,13,23000.0
Opel,Astra,2008,Universal,310000.0,1300.0,Diesel,4850.0,14,22142.85714285714
Volkswagen,Touran,2011,Minivan,176000.0,1400.0,Petrol,8300.0,11,16000.0
Opel,Astra,2010,Universal,161000.0,1300.0,Diesel,5650.0,12,13416.666666666666
Toyota,Rav 4,2007,Crossover,139524.0,2000.0,Metan/Propan,10299.0,15,9301.6
Opel,Astra,2007,Universal,190650.0,1600.0,Metan/Propan,5150.0,15,12710.0
Audi,A8,2005,Universal,192000.0,3000.0,Diesel,2599.0,17,11294.117647058823
Mercedes,E Class,2007,Universal,249440.0,2980.0,Diesel,2500.0,15,16629.333333333332
Opel,Rare,2017,Crossover,120000.0,1600.0,Diesel,14999.0,5,24000.0
Nissan,Primera,2005,Hatchback,197653.0,1600.0,Petrol,3000.0,17,11626.64705882353
Hyundai,Sonata,2005,Sedan,107000.0,2400.0,Metan/Propan,6700.0,17,6294.117647058823
Volkswagen,Caddy,2002,Combi,190000.0,1900.0,Diesel,2500.0,20,9500.0
BMW,X5,2016,Crossover,86000.0,2000.0,Plug-in Hybrid,38900.0,6,14333.333333333334
BMW,3 Series,1996,Sedan,268000.0,1800.0,Petrol,2100.0,26,10307.692307692309
Mercedes,E Class,2017,Sedan,63000.0,2000.0,Petrol,32499.0,5,12600.0
Skoda,Fabia,2012,Universal,165000.0,1200.0,Diesel,5200.0,10,16500.0
Volkswagen,Passat CC,2012,Sedan,230000.0,1759.0,Petrol,9999.0,10,23000.0
Opel,Vectra,1996,Sedan,332000.0,1600.0,Petrol,1500.0,26,12769.23076923077
BMW,5 Series,2012,Sedan,170000.0,2000.0,Petrol,14999.0,10,17000.0
BMW,X5,2004,SUV,20000.0,3000.0,Metan/Propan,8700.0,18,1111.111111111111
Dacia,Logan,2009,Universal,21022.0,1500.0,Diesel,3200.0,13,1617.076923076923
Hyundai,Matrix,2005,Minivan,264752.0,1500.0,Diesel,3450.0,17,15573.64705882353
Seat,Ibiza,2011,Coupe,132124.0,1400.0,Petrol,7499.0,11,12011.272727272728
KIA,Ceed,2018,Universal,199200.0,1400.0,Diesel,8300.0,4,49800.0
BMW,7 Series,2003,Sedan,340000.0,3000.0,Diesel,7999.0,19,17894.736842105263
Audi,A4,2013,Sedan,130000.0,2000.0,Petrol,12500.0,9,14444.444444444443
Mini,Rare,2013,Hatchback,151582.0,2000.0,Diesel,13999.0,9,16842.444444444445
Dacia,Lodgy,2012,Universal,120041.0,1500.0,Diesel,7150.0,10,12004.1
Toyota,Yaris,2008,Hatchback,187000.0,1400.0,Diesel,3200.0,14,13357.142857142857
Hyundai,Rare,2010,Microvan,189000.0,1400.0,Diesel,6199.0,12,15750.0
Toyota,Rav 4,2017,Crossover,56587.0,2500.0,Hybrid,22499.0,5,11317.4
BMW,Rare,2019,SUV,51000.0,3000.0,Diesel,92000.0,3,17000.0
Nissan,X-Trail,2008,SUV,195000.0,2000.0,Diesel,7700.0,14,13928.57142857143
Mercedes,E Class,2014,Sedan,82000.0,2000.0,Petrol,17250.0,8,10250.0
Opel,Combo,2003,Minivan,330000.0,1700.0,Diesel,1700.0,19,17368.42105263158
Nissan,Juke,2014,Crossover,156258.0,1500.0,Diesel,7999.0,8,19532.25
